product,complaint_what_happened,date_sent_to_company,issue,sub_product,zip_code,tags,complaint_id,timely,consumer_consent_provided,company_response,submitted_via,company,date_received,state,consumer_disputed,company_public_response,sub_issue,id
Credit reporting or other personal consumer reports,,2025-08-28T12:00:00-05:00,Incorrect information on your report,Credit reporting,30305,,15573614,Yes,Consent not provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-08-28T12:00:00-05:00,GA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Account status incorrect,15573614
"Credit reporting, credit repair services, or other personal consumer reports",A letter was sent for dispute which included an affidavit attached for fraudulent information reporting on my credit file. There are two accounts that are inaccurately appearing on my credit report from your company. According to FCRA 609 you all have the obligation to remove fraudulent information from my credit report. At this time more than 30 days has passed and I have yet to receive a reply or correction on my credit reports. I have contacted all 3 major credit bureaus to correct and they claim you have verified the information but have yet to send any proof of my consent to these accounts.,2020-11-20T12:00:00-05:00,Incorrect information on your report,Credit reporting,30213,Servicemember,3966693,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2020-11-20T12:00:00-05:00,GA,N/A,Company believes it acted appropriately as authorized by contract or law,Information belongs to someone else,3966693
Consumer Loan,,2015-09-29T12:00:00-05:00,Taking out the loan or lease,Vehicle loan,66109,,1585588,Yes,Consent not provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2015-09-29T12:00:00-05:00,KS,No,Company believes it acted appropriately as authorized by contract or law,,1585588
Mortgage,,2019-11-05T12:00:00-05:00,Applying for a mortgage or refinancing an existing mortgage,Other type of mortgage,89108,,3428996,Yes,N/A,Closed with explanation,Referral,UNITED SERVICES AUTOMOBILE ASSOCIATION,2019-11-04T12:00:00-05:00,NV,N/A,Company believes it acted appropriately as authorized by contract or law,,3428996
Checking or savings account,"I am writing to express my deep concern regarding the recent closure of my USAA account. Despite multiple instances of my account being compromised due to security lapses on USAAs part, I have consistently taken all necessary precautions to protect my account. Unfortunately, these breaches have occurred repeatedly, highlighting a significant issue with the security measures in place. 
To my dismay, USAA has decided to close my account without providing a clear reason. This decision has been made despite the fact that the security breaches were not due to any fault of my own. Additionally, I am facing difficulties with the processing of my insurance claim for my apartment, which remains unresolved. 

Following my XXXX XXXX in XXXX, which affected my memory due to an XXXX, I have observed a noticeable decline in the quality of treatment I have received. I believe this change in treatment is unjust and may be influenced by my being XXXX. 
I kindly request a thorough review of my situation and an explanation for the treatment I have experienced. It is crucial that all people receive fair and respectful care, regardless of their background. 

I kindly request a thorough review of my case and a detailed explanation for the account closure. Furthermore, I urge USAA to address the pending insurance claim promptly.",2024-12-05T12:00:00-05:00,Closing an account,Checking account,85339,,11044971,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2024-12-05T12:00:00-05:00,AZ,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Company closed your account,11044971
Credit card or prepaid card,,2017-06-09T12:00:00-05:00,Fees or interest,General-purpose credit card or charge card,90046,,2534584,Yes,N/A,Closed with explanation,Referral,UNITED SERVICES AUTOMOBILE ASSOCIATION,2017-06-08T12:00:00-05:00,CA,N/A,Company believes it acted appropriately as authorized by contract or law,Problem with fees,2534584
Debt collection,,2025-09-10T12:00:00-05:00,Took or threatened to take negative or legal action,I do not know,31909,,15829763,Yes,Consent not provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-09-09T12:00:00-05:00,GA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Threatened or suggested your credit would be damaged,15829763
Credit card or prepaid card,"On XX/XX/XXXX, my wife, XXXX XXXX XXXX, received a call from USAA informing us that our USAA Platinum card was delinquent and requested a payment. She informed them that the only Platinum card we had was with XXXX XXXX and all of our accounts were current. 

The operator then instructed us to log into USAA to view the statement as well as the history. We then ended the call, XXXX logged into her account and there was no indication of any platinum card on her login account. 

I then attempted to log into USAA using my information ( my wife and I have two different usernames ) and was informed that my password was incorrect. I have used the same password for many, many years. So, I called USAA. I was informed that my account 's address and password had been changed and their records reflected me living in XXXX. Neither my wife nor I have traveled to, purchased from or have any connection with anyone in XXXX. 

They went through their process to reset my account to accurately reflect not only the only address we have had since XXXX ( we have been married and living here since XX/XX/XXXX ) but also reset my password. I was then advised to sign on and access the account. I was also informed that the card was processed using my information and only with my name - not jointly. I have never had an account ( since we have been married ) in only my name. 

When I logged in, I discovered not one, but two, transactions were made ( XX/XX/XXXX - {$18000.00} and XXXX - {$18000.00} ). First of all, we shop at thrift stores and XXXX- we would never make these purchases. We called and spoke with USAA several times and finally the account was frozen or closed and marked as being a fraudulent, identity theft case. Copies of two month 's statements is attached for your reference. 

The account was referred to USAA 's fraud department at XXXX XXXX  on XX/XX/XXXX through XXXX ( XXXX. #, XXXX ). As I am hard of hearing and my XXXX XXXX was rising as a result of this, I instructed ( and continue to do so each time we place a call with USAA concerning this garbage ) to speak with my wife. We were given the number XXXX XXXX XXXX XXXX for XXXX XXXX XXXX. 

We were then referred to another team XXXX XXXX XXXX for debt solutions. We have also spoke with XXXX at XXXX XXXX XXXX ( another Fraud Department operator. We were instructed to contact the local police department here in XXXX, Colorado. They sent two officers ( one was XXXXXXXX XXXX XXXXXXXX XXXX. XXXX ). Their address is XXXX XXXX XXXX XXXX, XXXX CO XXXX. His number is XXXX XXXX XXXX. We were informed that they couldn't file a report since nothing had been taken from us. We were provided a flyer for Identity Theft Complaint but were informed there wasn't anything they could do. He then informed us to contact all three of the credit agencies, which we did, and let them know what had happened. 

We then were contacted by our bank ( XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX XXXX CO XXXX XXXX XXXX XXXX XXXX ) informing us that there were two demands for payment ( received XXXX and XXXX ) for {>= $1,000,000}. We immediately went to the bank and had to close that account and open another account to protect ourselves. XXXX provided a flyer as well as instructions to reach out to the credit agencies as well. Again, we did this. A copy of the two demands is attached as a ZIP file. 

Calls then continued to come in from USAA demanding payment. The credit card department ( if you will ) is separate from the fraud department and neither of them really connect. Over and over we have been informed that the Fraud Department is working on this. Now? Our credit rating has dropped XXXX points, USAA has turned this matter over to collection. What more can we do? I am retired, I have low income. My wife is nearing retirement. We both have health issues. Not that is your concern, but is it going to take one of us to pass in order for this to be resolved? 

We truly have no idea what more we can do.",2022-05-28T12:00:00-05:00,Problem with a purchase shown on your statement,General-purpose credit card or charge card,XXXXX,"Older American, Servicemember",5619350,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2022-05-28T12:00:00-05:00,CO,N/A,Company believes it acted appropriately as authorized by contract or law,Card was charged for something you did not purchase with the card,5619350
Bank account or service,,2014-10-02T12:00:00-05:00,Problems caused by my funds being low,Checking account,01850,,1046353,Yes,N/A,Closed with monetary relief,Referral,UNITED SERVICES AUTOMOBILE ASSOCIATION,2014-09-26T12:00:00-05:00,MA,No,,,1046353
Checking or savings account,,2018-08-23T12:00:00-05:00,Opening an account,Checking account,08817,,3000104,Yes,Other,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2018-08-23T12:00:00-05:00,NJ,N/A,Company believes it acted appropriately as authorized by contract or law,Account opened as a result of fraud,3000104
Mortgage,"On XXXX XXXX, 2015 I paid off my mortgage to USAA Fed Savings Bank, XXXX XXXX, TX. XXXX is the loan manager. After many calls and XXXX certified letter, neither company has produced a recordable loan cancellation notice to the Court House as of today ( a year later ). I constantly get excuses and different people at both institutions who say they will help, but they will not return my calls, emails or letters. I need help in getting this notice as it is holding up my mother 's probate.",2016-04-20T12:00:00-05:00,"Loan servicing, payments, escrow account",Conventional fixed mortgage,995XX,,1889573,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2016-04-20T12:00:00-05:00,AK,No,Company believes it acted appropriately as authorized by contract or law,,1889573
Credit reporting or other personal consumer reports,,2025-05-11T12:00:00-05:00,Problem with a company's investigation into an existing problem,Credit reporting,75080,,13447930,Yes,Consent not provided,Closed with non-monetary relief,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-05-11T12:00:00-05:00,TX,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Their investigation did not fix an error on your report,13447930
Checking or savings account,"USAA denied my timely fraud claim under Regulation E, despite unauthorized debit card charges totaling {$2200.00}. 

I reported the fraud within 5 days of the first charge ( well within the XXXX window required under XXXX XXXX ). USAA issued and reversed provisional credits multiple times, then ultimately issued a final denial on XX/XX/year>. 

Squares own documentation confirms that card present coding can mean a manually keyed entry, which does not require the physical presence of the card or cardholder. Therefore, USAAs claim that these charges were valid card-present transactions is incorrect. 

Timeline of Events : XX/XX/year> : First fraudulent transaction date XX/XX/year> : Transactions posted to account XX/XX/year> : Fraud reported to USAA ( 5 days after first charge ) XXXX : USAA issued and reversed XXXX credits multiple times XX/XX/year> : Fraud report filed directly with Square ( confirmation pending ) XX/XX/year> : USAA issued final denial Requested Outcome : Reimbursement of {$2200.00} in unauthorized debit card charges under Regulation E, and confirmation that XXXX dispute process complies with federal consumer protection requirements.",2025-09-25T12:00:00-05:00,Managing an account,Checking account,631XX,,16169973,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-09-25T12:00:00-05:00,MO,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Problem using a debit or ATM card,16169973
Credit card or prepaid card,"I made a purchase on my card - shortly after the purchase I noticed that I was overcharged from the original amount quoted to me. I reached out and filed a dispute on the charge around XX/XX/XXXX I contacted the dispute department on XX/XX/XXXX to follow up on the resolution as I had not heard anything. I was advised by the representative I spoke with that dispute was closed and a credit was issued back to me for {$940.00} During the conversation I confirmed once more that the case was closed and this was the final resolution- I still needed to pay for the services so I advised her I was going to pull out money separately to pay for the services but wanted to verify the case was closed and this was final - she stated it was final and the credit could not be reversed and no further action would be taken. Based on this conversation on XX/XX/XXXX I went to my bank on XX/XX/XXXX and pulled out just over {$900.00} and paid the company directly for my purchase. 
On XXXX I noticed that the credit I received from the original dispute was taken back and the original charge of {$940.00} was placed back on my card on XXXX. I contacted the dispute department to clarify what happened. During this call the representative advised again that there is no reversal to the credit- so I asked how or why was it reversed- she couldn't explain why but said the case was closed. 
Based on the expectation provided by the representative on XX/XX/XXXX I withdrew money from an account to pay for the services. If this expectation had not been set I would not have done this. Now I have already paid for the services in cash and had the services charged to my account- I have paid 2 times for these services. My actions were based on the expectation set by the representative - proof can be provided that I withdrew money to cover these services- if it wasn't for this misinformation I would not be out this additional money",2023-04-14T12:00:00-05:00,Problem with a purchase shown on your statement,General-purpose credit card or charge card,85365,,6839866,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2023-04-14T12:00:00-05:00,AZ,N/A,Company believes it acted appropriately as authorized by contract or law,Credit card company isn't resolving a dispute about a purchase on your statement,6839866
Checking or savings account,"Today on XX/XX/XXXX I called USAA ( United Services Automobile Association ) XXXX from my cellular phone XXXX XXXX, with the intentions of opening a new checking account. I was briefly transferred at the 1st call to another department. The 2nd call updated general contact info ; address, email, telephone number. After updating info and the 2nd agent then informed me I was incorrectly transferred and she would then need to transfer me again to correct department. The 3rd call was my final conversation with a customer service agent of XXXX. The agent informed me before I can open a new checking account. I would be required to pay old credit card balances from XXXX & XXXX, which to my surprise are not only well past the stature of limitations but have been cleared via guarantor insurance. The agent did not verbally recite a Mini-Miranda ( or when I was transferred to the 3rd rep no recording advised of a Mini-Miranda ) that both accounts had to be paid in full since it was a collectable debt. I advised that would be illegal to as it would be double dipping when I stated that XXXX has already been paid via insurance guarantor this seem to make the agent ballistic. She began overtaking and yelling to the point I had to be firm and take control of call. I then advise to transfer me to a banker the agent refused, she was aggressive and combative to she volunteered her supervisor ( which I didnt ask for ) I then said Our conversation is over Please connect me to a banker for assistance, she then placed me on hold then I go the voicemail of a XXXX who on her voicemail greeting title was Sr. Rep or a Team Lead. So in fact I was not even transferred to the person the agent demanded I be connect with or the correct transfer that I requested to a banker",2018-02-14T12:00:00-05:00,Opening an account,Checking account,30338,,2813336,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2018-02-14T12:00:00-05:00,GA,N/A,Company believes it acted appropriately as authorized by contract or law,Unable to open an account,2813336
Checking or savings account,"I made 3 payments to XXXX XXXX XXXX on XX/XX/XXXX totaling {$11000.00} to pay off my auto loan. I changed my mind about paying the loan off and called USAA to stop payment. They said they would begin a dispute to get the money back and issued a temporary credit. I saw no progress and called to ask them to cancel the dispute on XX/XX/XXXX. They put in the request. I saw no progress and called XXXX  the following week to see if they had an update, as the representative with USAA had no information. They told me that they reversed the charges on XX/XX/XXXX. I have called USAA every week since then to ask for an update on the case and they can not tell me why it still says a temporary credit instead of permanent. Last week I received a letter saying a permanent credit was issued on XX/XX/XXXX however it does not reflect that on my account. The last call I made to USAA on XX/XX/XXXX, I was told that they can not find the credit from XXXX. It appears the money is just lost. I need them to speak with each other to find out who has the money and settle this case.",2025-07-23T12:00:00-05:00,Managing an account,Checking account,238XX,,14833824,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-07-23T12:00:00-05:00,VA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Funds not handled or disbursed as instructed,14833824
Credit reporting or other personal consumer reports,"USAA has violated my rights and broke the law, vis a vis the Fair Credit Reporting Act and 15 USC 1681, by reporting unverified information to the Credit Bureau These violations have caused me a tremendous amount of stress and hardship, I would like your involvement to assist me in receiving remedy.",2025-09-18T12:00:00-05:00,Improper use of your report,Credit reporting,37042,Servicemember,16010463,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-09-18T12:00:00-05:00,TN,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Reporting company used your report improperly,16010463
Mortgage,,2012-05-23T12:00:00-05:00,"Loan modification,collection,foreclosure",Other mortgage,33707,,82839,No,N/A,Closed with explanation,Referral,UNITED SERVICES AUTOMOBILE ASSOCIATION,2012-05-18T12:00:00-05:00,FL,No,,,82839
Credit card,"Complaint Against : USAA I am filing this complaint because USAA has refused to honor my dispute regarding unauthorized charges on my account. 

I reported these charges as fraudulent, but USAA has not resolved the dispute in my favor. Additionally, I requested copies of account statements so that I could pursue criminal charges against the responsible party, but USAA has failed to provide me with the necessary documentation. 

Instead of assisting me in addressing these unauthorized transactions, USAA proceeded with a charge-off on my account. This has created a serious financial hardship for me, as I am now being held responsible for charges I did not authorize. 

I am requesting that the CFPB review this matter and ensure that USAA complies with its obligations under the Fair Credit Billing Act ( FCBA ) and other applicable consumer protection laws. Specifically, I ask that USAA : 1. Properly investigate and resolve my dispute of the unauthorized charges.

2. Provide me with the requested account statements and records.

3. Remove or correct the charge-off from my account and credit reports if it is related to the unauthorized charges. 

I am seeking immediate relief, as this situation is negatively impacting my finances and credit standing. 

Would you like me to also format this into the exact structure the CFPB online complaint form uses ( with sections like What happened, Company response you are seeking, etc. ) so you can just copy and paste it into their site?",2025-09-23T12:00:00-05:00,Problem with a purchase shown on your statement,General-purpose credit card or charge card,306XX,,16129419,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-09-23T12:00:00-05:00,GA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Credit card company isn't resolving a dispute about a purchase on your statement,16129419
Credit card or prepaid card,,2021-09-21T12:00:00-05:00,Problem with a purchase shown on your statement,General-purpose credit card or charge card,97212,,4738639,Yes,Consent not provided,Closed with monetary relief,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2021-09-21T12:00:00-05:00,OR,N/A,Company believes complaint represents an opportunity for improvement to better serve consumers,Card was charged for something you did not purchase with the card,4738639
Credit card,"On XX/XX/year>, USAA sent me XXXX letters saying they had closed my VISA and AMEX accounts without explaining why. I called USAA on XX/XX/year> to ask if this was in error and why they closed the accounts. The representative refused to explain why over the phone and send they would send a written response. It is XX/XX/year>, and USAA has yet to send any explanation. 

USAA did send a letter to me on XX/XX/XXXX asking me to check my account information and confirm it was correct by XX/XX/year>. But they closed my accounts two months before that deadline expired.",2025-09-20T12:00:00-05:00,Closing your account,General-purpose credit card or charge card,60076,,16123203,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-09-20T12:00:00-05:00,IL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Company closed your account,16123203
Vehicle loan or lease,"SUBJECT : Request for Action Regarding USAA Loan Rescission, Credit Reporting and Voluntary Repossession Processes On XX/XX/XXXX USAA financed two vehicles I purchased from a Texas dealer that engaged in multiple serious violations, including fraudulent misrepresentation, deceptive trade practices, unauthorized charges, Truth In Lending Act violations and criminal negligence. These violations have directly harmed me financially, led to ongoing vehicle issues, and currently forcing me into an involuntary financial decision that will damage my credit unless action is taken. As of XX/XX/XXXX I have unsuccessfully attempted to receive assistance from USAA despite multiple conversations and providing extensive documentation of the incident. 

Dealer Information Dealer Names : XXXX XXXX and XXXX XXXX XXXX Names : XXXX XXXX XXXX XXXX XXXX ( also operating as XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX, and XXXX XXXX XXXX ) Dealer License # : XXXX Date of Purchase : XX/XX/XXXX Salespersons Involved : o XXXX XXXX An undocumented employee not legally authorized to work in the U.S., with no valid driver 's license. 
o XXXX XXXX Listed as the salesperson in records but acted in a finance role and did not complete the sale. 

Vehicles Purchased XXXX XXXX XXXX XXXX : XXXX XXXX XXXX XXXX XXXX XXXX : XXXX Key Issues and Violations 1. Fraudulent Misrepresentation of Vehicle Condition Both vehicles experienced severe mechanical issues ( suspension faults, tire pressure system errors, illuminated check engine lights ) within days of purchase. 
Diagnostic trouble codes appear to have been reset to intentionally conceal existing mechanical problems. Despite spending over {$19000.00} in repairs, the vehicles continue to have major issues. 
2. Deceptive and Predatory Sales Practices I was promised pre-sale repairs that were never completed. These verbal commitments were a key factor in my decision to buy but were never documented. 
The dealer misrepresented pricing, claiming the vehicles were sold at cost. However, documents found in the vehicles showed I was charged approximately {$13000.00} above auction value. 
3. Unauthorized Charges and Fraudulent Warranty ( TILA Violations ) A {$2500.00} 3-month warranty was added to both auto loans without my knowledge or consent. I was not presented with or given a copy of the warranty agreement until days later. Warranty documents are not signed by me but I was forced to utilize them due to the poor condition of the cars. 
Critical loan and warranty documents were withheld or misrepresented at the time of signing. 
This unauthorized contract was financed by USAA, and I believe it forms grounds for the rescission of the loan agreement based on misrepresentation and fraud. 
5. Falsified Sales Records Sales documents list XXXX XXXX as the acting salesperson, though he was not the individual who sold me the vehicles a clear falsification of legal documents. 

Financial Impact Vehicle Financing ( via USAA ) : {$68000.00} Post-Sale Repairs : {$19000.00} Loan Payments Made ( to USAA ) : {$4200.00} Total Financial Loss to Date : {$91000.00} The financial damage caused by this dealership 's fraud has become unsustainable. Despite thousands spent on repairs, the vehicles remain unreliable. I am now forced to proceed with a voluntary repossession. However, USAA 's repossession process will result in late payments and charge-offs being reported on my credit report, even though these consequences stem directly from fraudulent and criminal behavior by the dealership. 

Resolution Requested I respectfully ask that the CFPB hold USAA accountable by : o Recognizing the fraudulent nature of the loan terms o Rescinding or canceling the auto loan ( s ) under fraud protections o Agreeing not to report late payments, charge-offs, or repossession to credit reporting agencies due to the clear, documented extenuating circumstances o Refund for unauthorized warranty charges",2025-05-21T12:00:00-05:00,Repossession,Loan,77459,,13612684,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-05-21T12:00:00-05:00,TX,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Voluntary repossession,13612684
Vehicle loan or lease,,2021-08-19T12:00:00-05:00,Getting a loan or lease,Loan,55401,,4644566,Yes,N/A,Closed with explanation,Referral,UNITED SERVICES AUTOMOBILE ASSOCIATION,2021-08-19T12:00:00-05:00,MN,N/A,Company believes it acted appropriately as authorized by contract or law,Changes in terms mid-deal or after closing,4644566
Checking or savings account,"XX/XX/year> suspicious activity froze my USAA accounts of which I am a member of 40-years, when I attempted to pay my bills. 
XX/XX/year> My authorized text usually from USAA shows an unknown name was added to my personal profile and instruction to phone a XXXX number that is not a USAA number XXXX 
XX/XX/year> thru XX/XX/year> telephone calls made from me to XXXX XXXX, my visits to the bank, faxes and mail sent to resolve authenticity I am the account holder. Each time I call varying information either they have or don't have my driver 's license successfully in their hands or they have 3 copies of licenses in their hands. Or the licenses are not acceptable and is acceptable if in XXXX and white. 
XX/XX/year> thru XX/XX/year> no one accepts my text information to help resolve the suspicious activity. 
XX/XX/year> thru XX/XX/year> I am unable to get anyone other than XXXX XXXX to interface with me and am told they are separate from the team in a back room that accepts no communication from me.",2025-09-06T12:00:00-05:00,Managing an account,Checking account,782XX,Older American,15771379,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-09-06T12:00:00-05:00,TX,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Deposits and withdrawals,15771379
Mortgage,"Failure to provide notice within 30 days that mortgage had been transferred. 

AutoPay was cancelled due to mortgage transfer, causing a delay in payment posting. 

We called our prior company and was informed that a notice had been mailed, however, we never received said notice. 

There were never any notifications, emails, correspondence, or evidence of this transfer other than this "" goodbye letter '' that they claim they mailed on XX/XX/2022.",2022-06-09T12:00:00-05:00,Trouble during payment process,VA mortgage,30228,Servicemember,5650547,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2022-06-09T12:00:00-05:00,GA,N/A,,,5650547
Checking or savings account,"On XX/XX/2020, I purchased a service with a marketing agency called XXXX  XXXX XXXX. During my consultation call, I was told the services could get me 2-5 appointments. I needed 2 appointments to trigger my insurance salesperson contract. The gentleman XXXX was told my situation and that I didn't have the XXXX asked for. I was told that XXXX could give me a discount for XXXX if I signed up on that call. I only had barely the amount. I was nervous but XXXX let me know he had used the service for his insurance career and if it didn't work, I could get my money back within 30 days. I sent an email letting the company know it did not work and requested a refund. I was told that I could not get the refund promised and I was within the 30 days and had followed all of the steps advised by the company. I did not get any appointments. 

I disputed with USAA and have called pretty much everyday or sent a chat. Many of USAA 's agents saw but USAA still sided with the merchant. The merchant sent in a false invoice without a signature or my name or information and lied in the statement sent. My email proves my statements. 

I have attempted to let USAA know this almost daily and they are telling me to contact the merchant which is why I contacted USAA to dispute. The merchant ignores me and has not responded. 

Also, the merchant showcases a money back guarantee on his website, blog and XXXX channel. 

Yet, USAA still does not refund my money. I also sent in all of the documents to show the information. 

I am asking for help and a refund as an over drafted account affects me and I am telling the truth. I also do not have XXXX to waste especially at a time during a crisis. I was trying to keep my job. I lost my job because I did not trigger. 

I can provide all of the documents provided to USAA and all forms of communications, including what the merchant sent in which was false information.",2021-03-07T12:00:00-05:00,Managing an account,Other banking product or service,80922,Servicemember,4191150,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2021-03-07T12:00:00-05:00,CO,N/A,Company believes it acted appropriately as authorized by contract or law,Problem using a debit or ATM card,4191150
Credit reporting or other personal consumer reports,,2025-10-06T12:00:00-05:00,Incorrect information on your report,Credit reporting,80022,Servicemember,16371385,Yes,Consent not provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-10-06T12:00:00-05:00,CO,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Account status incorrect,16371385
"Credit reporting, credit repair services, or other personal consumer reports",I've contacted XXXX and USAA to have these fraudulent items removed. USAA has requested XXXX not to remove or dispute items. I've filed a FTC report as well as police report. These items are fraudulent and I feel like the companies are not complying.,2021-10-12T12:00:00-05:00,Problem with a credit reporting company's investigation into an existing problem,Credit reporting,302XX,,4803356,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2021-10-12T12:00:00-05:00,GA,N/A,Company believes it acted appropriately as authorized by contract or law,Their investigation did not fix an error on your report,4803356
Checking or savings account,"I used XXXX to transfer money directly in my account and the account shows the balance however it wont update the availability of the balance so I can use my money, my money has already left my XXXX and already in my usaa checking account but usaa isnt giving me access to this.",2023-02-23T12:00:00-05:00,Managing an account,Checking account,416XX,Servicemember,6601086,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2023-02-23T12:00:00-05:00,KY,N/A,Company believes it acted appropriately as authorized by contract or law,Deposits and withdrawals,6601086
"Payday loan, title loan, personal loan, or advance loan",,2025-09-29T12:00:00-05:00,Struggling to pay your loan,Installment loan,30260,Servicemember,16241116,Yes,Consent not provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-09-29T12:00:00-05:00,GA,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,,16241116
"Money transfer, virtual currency, or money service","I was trying to purchase a tablet online and the seller asked to use XXXX for the transfer. I had never used XXXX previously but saw it on my Bank ( USAA ) website and trusted it. The seller asked to send the money to XXXX account XXXX XXXX XXXX. I sent {$300.00} to XXXX and in turn was provided with a tracking number ( XXXX ) for a shipping company called XXXX  XXXX XXXX. All this information was passed between my phone number and the sellers phone number ( XXXX ) XXXX. 
After waiting a few days the package never arrived and now the seller is asking for more money. After telling them I am not sending more money they have stopped contacting me. Also, after further research, it appears that XXXX XXXX XXXX is a fake website an company used by these scammers.",2020-05-23T12:00:00-05:00,Fraud or scam,Domestic (US) money transfer,XXXXX,Servicemember,3666386,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2020-05-23T12:00:00-05:00,VA,N/A,Company believes it acted appropriately as authorized by contract or law,,3666386
Checking or savings account,"I am a XXXX veteran and long-time USAA member XXXX In XXXX, USAA mishandled my federally protected VA benefits, causing devastating harm to my family. 

On XX/XX/year>, the VA issued a {$16000.00} retroactive XXXX payment to my USAA account. According to VA records, that payment was returned. I never had access to it. 

On XX/XX/year>, my recurring {$4000.00} VA benefit was deposited into my USAA account. Instead of making those funds available, USAA closed my account and unilaterally applied my benefits to cover negative balances created by their own reversal of prior dispute credits. I never authorized this, and it amounts to an illegal setoff against VA-protected funds. 

USAA has admitted in writing that their inconsistent banking processes harmed members, including myself. Yet their only remedy was sending me a {$320.00} check. That is wholly inadequate given the damage they caused. 

As a direct result of USAAs mishandling : I lost access to $ XXXX in VA funds, which should have covered housing and living expenses. 
I was forced to relocate my wife and XXXX daughter, paying {$6900.00} in upfront housing costs for a new place after USAAs actions destabilized us. 
My XXXX XXXX auto loan ( previously current ) was charged off. 
My XXXX XXXX XXXX account and other credit lines were closed. 
My credit reputation was severely damaged. 
My family endured eviction threats, repossession threats, and immense emotional harm. 

USAA knew these funds were federally protected, but instead of honoring their obligation, they seized them to cover their own errors. This is not only unethical, it may violate federal banking and veterans protections.",2025-09-30T12:00:00-05:00,Managing an account,Checking account,33510,Servicemember,16268142,Yes,Consent provided,Closed with explanation,Web,UNITED SERVICES AUTOMOBILE ASSOCIATION,2025-09-30T12:00:00-05:00,FL,N/A,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Deposits and withdrawals,16268142
Checking or savings account,,2017-08-01T12:00:00-05:00,Managing an account,Checking account,80905,,2591561,Yes,N/A,Closed with explanation,Referral,UNITED SERVICES AUTOMOBILE ASSOCIATION,2017-08-01T12:00:00-05:00,CO,N/A,Company believes it acted appropriately as authorized by contract or law,Deposits and withdrawals,2591561
